	T5161	T54	T55	T64	T65	T74	T75	T84	T85
K00177	-0.0816120810368288	-0.0536526905873639	-0.0710224402363108	-0.32515335779242	-0.18921882447129	-0.0825545232081743	-0.0821282796578389	-0.0816201710337229	0.00509589847599947
K00179	-0.0763498007641358	-0.013167154223529	-0.0427424362683307	-0.215769798394673	-0.101159032776327	-0.0612380669279137	-0.0524411009573714	-0.0833410502921139	0.00718171641279529
K00180	-0.0766014158313466	-0.0137679241736693	-0.0411572593679591	-0.214078007841427	-0.100379304297138	-0.0596711983014299	-0.052915593300681	-0.083328652006735	0.00626769985543551
K00184	-0.0936317348427348	-0.314119862751249	-0.164572810666165	-0.6908400809972	-0.111726581093861	-0.186670643389541	-0.283244392395667	-0.133738740715153	-0.00695652575619961
K00185	-0.327775277226092	-0.439887975144814	0.301358182974914	-0.42278799487181	0.121026708162212	-0.187515730351369	-0.281013527021261	-0.041888308516369	-0.0128016262462173
K00188	-0.14408750006556	-0.14408750006556	0	0	0.144087500065559	0	-0.14408750006556	0.14408750006556	0
K00198	-0.524447727245354	0.354567416244099	-0.0321853183411851	-0.151463412615145	-1.51814835715644	0.0601067364868227	-0.984946258770207	-0.153041774622647	0.158983091819104
K00208	-0.37752646005799	-0.0508498853237739	-0.810192036746502	-0.329205037313785	0.196105731421826	-0.108731567698459	-0.294074575897241	-0.0388361812520368	0.0119704481258496
K00209	-0.399340084745311	-1.98087364178888	-0.266809535700939	-1.72798507700491	-0.964160555536285	-0.561442496125058	-0.819040897934076	-0.515524372764185	-0.176420562687978
K00215	0.179271420348219	0.329524352380441	0.0804111620527332	0.0487742794747383	-0.161600688969414	0	0.016415658694711	0.19231611067454	-0.0377306817526222
K00216	0.157728034029141	0.343277329266891	0.754473456217025	0.418036552017449	1.104550452542	0.354135855886526	1.29798406970616	0.553083869679155	-0.14408750006556
K00226	-0.0909090909090909	-0.14408750006556	-0.0909090909090909	-0.0909090909090909	-0.0909090909090909	0	0.0909090909090909	-0.0909090909090909	0
K00228	-0.0768371626707924	-0.0139615833754379	-0.0430409749173632	-0.216913190497162	-0.102927638184728	-0.0602101484077864	-0.0523151755179938	-0.0829762775887801	0.00880660862154673
K00230	0.125922891020896	-0.0285700150935865	-0.0425800542712948	-0.212598110371217	0.0898381407476243	-0.0618241050809251	0.146660562278729	-0.00851220894904937	0.168595306601737
K00231	-0.533808440063515	-0.00758424560760835	0.577689178878435	-0.438216287311624	-0.107948064305031	-0.363585206505621	0.960099615172368	0.18619216820912	-0.125918761524757
K00239	-0.14408750006556	-0.14408750006556	0	-0.170406283446922	0	-0.14408750006556	-0.14408750006556	-0.14408750006556	0
K00240	-0.102464395671596	0.170882342389299	0.314687662642263	-0.0171379077615698	0.278828563259867	0.0898640328329245	0.259261235348749	0.0364125390530663	0.262877240940529
K00241	0.0464310029743981	-0.121015873806808	0.249781135828697	0.139612513846721	-0.0979036494973655	0.011704136341648	0.0959541011447003	0.00422713291817186	0.0314858180314963
K00242	0.0607006680266778	0.537988581737772	0.522664200617276	1.57530251712329	1.16587337336422	-0.0953693345176246	0.319907821238175	0.351489993583461	0.278067726470543
K00243	0.14408750006556	-0.0866085713837857	-0.181818181818182	-0.560902272858392	-0.288175000131119	-0.14408750006556	-0.0909090909090909	0	-0.0560610327680448
K00244	-0.31526837048688	-0.551555241992305	-0.752406979524125	-0.125638099609923	0.193741759923523	-0.0990515743752421	-0.153716724149482	0.358887437320905	0.0912117914717534
K00245	0.01254343477082	0.0208791126626328	-0.14408750006556	-0.363917922035538	-0.129172601595941	0.0556772343347505	0.14408750006556	-0.244434521418605	0.14408750006556
K00246	-0.153470279144106	0.663058964475207	0.358853836386731	0.0827059648409484	0.186627689949189	-0.178689561946818	0.107352525848643	0.0175181064316825	-0.21697504820629
K00247	0.420652504479208	-0.386195835981822	-0.292865014363851	0.258814667988531	0.120357433019506	-0.115198443385203	0.253788283594736	-0.341212476907447	0.127598736358396
K00248	-0.0428175635970444	-0.488810685913332	-0.072903068806766	-0.111222645575373	0.183128364670132	-0.25861798979764	-0.356558364339354	-0.258128361943022	-0.225361254873942
K00249	-0.0757638191998434	-0.0129499255058592	-0.0430250670719791	-0.21521379548946	-0.0996268221332796	-0.0587757760166616	-0.0518605387838317	-0.0806387050893394	0.0104810109517643
K00252	0.3460709607907	-0.439836804635205	-0.433467954541758	-0.0101133640854609	0.304184167466935	-0.119954668862984	-0.191435878547509	-0.425125801509852	0.0916564097095427
K00254	0	0.149183144956284	-0.260885985846138	0.974092275654609	-0.0362066010240738	0.0262446588835888	-0.0584226378131077	-0.199801348376966	0.0141327747314887
K00257	-0.034146550389249	0.000352094452323567	-0.0315712785040919	-0.00104913992231139	0.0949825666100281	-0.0601598814498969	0.14522317797027	-0.0301053975385021	0.0114433759056134
K00259	-0.14408750006556	-0.14408750006556	0	-0.513132471591751	0	-0.288175000131119	-0.14408750006556	-0.020217492848768	-0.14408750006556
K00260	0	0	0	0	0	0	0	0	0
K00261	-0.0333719970252346	0.0251496042561344	-0.0399913346717931	-0.434595043989861	0.0886374447780537	-0.0501499140365741	-0.0279254439420711	-0.00814446782307921	0.00773139733667156
K00262	0.206746386977254	0.0709309994998424	-0.034035955889227	0.0347575758369217	-0.0999577885046286	-0.111126583757859	-0.133993744393856	0.0669968721969278	-0.0669968721969278
K00266	0.131497526469451	-1.00432301806194	0.606679552987503	-2.21510215598291	-2.4932939881755	-0.563615996458415	-0.208758385668323	-0.123419200778332	0.349117412017807
K00274	-0.0205043154868711	-0.0255740555709688	0.136228662480928	0.00265825634037078	0.104520724851924	-0.0287031883319787	0.143402282008262	-0.0255951197460446	0.00316590694267789
K00275	0	0	0	0	0	0	0	0	0
K00278	-0.011931321207114	0.742765286020243	0.380719433761363	1.50046708687549	0.156867776185013	-0.272613028331906	0.238788807754435	0.0277140528662201	0.293573251825687
K00281	-0.0831330618050643	-0.0121619263631604	-0.0303163462315762	-0.199869687483993	-0.0571864809120109	-0.0680572314134276	-0.0601806640467854	-0.0751576580309603	0.0144160020530076
K00282	0.175561794715454	-0.412264545594113	0.145152697571192	-0.726064022807685	-0.650989408884539	0.429324594945384	-0.609552976434455	0.267138145225717	0.115992961832833
K00283	0.0700482761867744	-0.290764486896373	-0.0151731535374292	-0.728665249201158	-0.51748431995418	0.111523456313413	-0.192488306599431	0.0747775372467633	0.0578246796136296
K00285	-0.0720080306460305	-0.442071175194168	0.148395685666412	0.413357267549184	0.342827828716613	-0.0179541706474169	-0.0242873396657469	-0.0100587431013194	-0.17242257207362
K00286	-0.0531784091564687	0.0531784091564687	0.135038802470022	-0.0531784091564687	-0.0531784091564687	-0.0909090909090909	0.0531784091564687	-0.14408750006556	-0.0909090909090909
K00287	-0.287909774369092	-0.255185505878896	-0.162103316542413	-1.64993865509029	-0.25944138607745	-0.656854918573263	-0.313536450104103	-0.944333848139453	-0.343158254736829
K00290	-0.338612611703242	-0.238554793151157	-0.0601038512094767	-1.85170987872725	-0.398278560383152	-0.879702267722747	-0.619887060804321	-0.473174236784845	-1.61925089034519
K00294	-0.633249692263287	-0.430699130569985	0.186909180338584	-0.175709174350555	-0.573484890828729	-0.955151545423233	-0.334614967222634	-0.00677279739590343	-0.280676744730022
K00297	-0.225574766257955	-0.462436063945179	-0.292159967035924	-1.23905466684881	-0.20348490592777	-0.240350562706793	0.0219098272276177	-0.173596793627895	-0.150112338194575
K00303	0.140595385990921	0.0195958662898696	-0.0267603266607821	0.228101191503971	0.0940697440845019	0.142754415958233	0.0135470491981709	0.109943257877323	0.173972082843468
K00311	-0.0144276558480736	1.09012707505397	0.0895138214242329	2.20099553741899	0.606994715740568	-0.22185530889954	0.201809611822197	0.537577221866122	0.246507425256899
K00313	-0.87158675102282	2.1828154971008	-0.0281950384507331	0.0709957191632394	0.00486581548290423	0.00373496567125723	-0.422458272715981	-0.0594311015738466	0.865039579590032
K00318	0.0470545769213883	-0.116189668463093	0.00799768595385234	-0.392481700440739	-0.0201660138183535	-0.174484164168506	-0.187492805739317	-0.0744829532406073	0.00510004457865194
K00324	0.345053590649624	0.746579011644896	0.332152553707969	0.901159982195423	1.55172677314799	-0.0355558262854882	0.709740974272346	0.227108435987794	0.935531060385604
K00325	0.22879345797181	0.652618278707189	0.455669671240696	0.955051421157004	0.615801616930636	-0.1160194245923	0.106742080629903	0.291370697035213	0.213018328520848
K00330	-0.128993219164839	0.210020858644221	0.319532604264024	0.15410825253851	0.431583003669146	0.156353705856636	0.300081813790923	0.315217253945811	0.412767527359916
K00331	-0.196944971306038	0.358921559050201	0.874008244029702	-0.0453995376872018	0.573788491537533	0.229900138324665	0.289738703835992	0.269248304514839	0.376933433665051
