	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T54	mean_md_H_T55	mean_md_H_T64	mean_md_H_T65	mean_md_H_T74	mean_md_H_T75	mean_md_H_T84	mean_md_H_T85	mean_md_H_T5161
C93.I.T4	0.794929705913964	0.765147799517328	1.43196069777847	1.28311357776635	1.49855426161117	1.4404386239037	1.10613709890172	1.08092391173004	1.06942216084882	1.14154888317518	1.35164278159598
C93.I.T5	1.25857309474124	1.19899849942654	2.39007798332137	2.34364325703186	2.55460220372749	2.53329015609444	1.46201838870721	1.61900629116414	1.4918931540781	1.63783149882051	1.50373906814084
C95.14.T3	1.27280857304822	1.01373708784691	1.63389876927288	1.47252028875379	1.78253791530476	1.65044637217939	1.07017478640863	1.15910363624429	1.01218373545912	1.16273766031901	1.37086722196031
C95.14.T4	1.07367349186381	1.06540037453435	1.77949917876698	1.59542000002114	1.96610139395374	1.77382605076393	1.37072137996647	1.45594259208028	1.2523153744165	1.4358846637444	1.77461581202477
C95.14.T5	2.26535295192928	2.22429300294682	1.70341202882582	1.77790313859747	1.70168947459373	1.80036224083547	1.70241966403998	1.56395336306694	1.67535337011728	1.60846532823213	1.64583047270115
C95.145.T1	1.93336612855284	1.94351810686879	1.20576753644362	1.01689544489088	1.11679467789586	1.08672067858551	1.88132366158933	1.66083735279987	1.74996250956302	1.75685472566019	2.21635434558465
C95.145.T2	1.29316775517613	1.42953144459699	1.38423015161035	1.13339267758753	1.40578355630271	1.27375561901089	1.73745523731253	1.63184587577872	1.57938321908177	1.69002787190114	2.15302882705268
C95.15.T3	1.08500970246695	0.897008582147248	1.41654046983061	1.22384664073896	1.53710269111764	1.38535974526449	1.17080836694321	1.17663501645451	1.0762040684306	1.19481676155583	1.50377161507366
C95.15.T4	1.1333682463457	1.01592423536858	1.27519412987303	1.03539870050897	1.27197143626902	1.16300732619028	1.71769389409843	1.57293351463315	1.57037884656806	1.65373453929002	2.10785847518702
C95.24.T2	0.611494770184832	0.618908430812022	1.57143571696962	1.3976659779998	1.73827044920411	1.56392297865846	1.16324020601458	1.22563085420108	1.06386635271606	1.22706194671945	1.51123359001419
